115 logs before log style change
User: test Logged in at: 2020-02-21T18:18:28.651
User: test Logged in at: 2020-02-21T18:19:38.716
User: test Logged in at: 2020-02-21T18:22:54.828
User: test Logged in at: 2020-02-21T18:23:55.733
User: test Logged in at: 2020-02-21T18:45:35.143
User: test Logged in at: 2020-02-22T08:52:12.420
User: test Logged in at: 2020-03-03T01:30:45.614
User: test Logged in at: 2020-03-03T13:15:20.037
User: test Logged in at: 2020-03-03T13:17:38.136
User: test Logged in at: 2020-03-03T13:22:46.012
User: test Logged in at: 2020-03-03T13:26:10.791
User: test Logged in at: 2020-03-03T13:35:45.925
User: test Logged in at: 2020-03-03T13:39:01.333
User: test Logged in at: 2020-03-03T13:49:22.871
User: test Logged in at: 2020-03-03T13:52:35.418
User: test Logged in at: 2020-03-03T13:54:20.377
User: test Logged in at: 2020-03-03T13:57:08.789
User: test Logged in at: 2020-03-03T13:58:53.670
User: test Logged in at: 2020-03-03T14:02:22.819
User: test Logged in at: 2020-03-03T14:03:35.760
User: test Logged in at: 2020-03-03T14:05:46.207
User: test Logged in at: 2020-03-03T14:09:38.310
User: test Logged in at: 2020-03-03T14:19:46.182
User: test Logged in at: 2020-03-03T14:23:30.112
User: test Logged in at: 2020-03-01T20:59:01.328
